qs_rank_2024,institution,country,qs_rank_2025,subject_area,ib_min,ib_recommended,a_levels,sat_recommended,act_recommended,additional_tests
451.0, Western Sydney University,Australia,,Engineering & Technology,28,32,BBB,1200+,25+,
378.0,AGH University of Science and Technology,Poland,363.0,Engineering & Technology,28,32,BBB,1200+,25+,
186.0,Aalborg University,Denmark,216.0,Engineering & Technology,32,36,AAA,1300+,27+,
166.0,Aalto University,Finland,165.0,Engineering & Technology,32,36,AAA,1300+,27+,
269.0,Aarhus University,Denmark,239.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Abu Dhabi University,United Arab Emirates,386.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Academy of Sciences of the Czech Republic,Czech Republic,,Engineering & Technology,28,32,BBB,1200+,25+,
,Academy of Sciences of the Czech Republic,Czechia,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Ain Shams University,Egypt,267.0,Engineering & Technology,28,32,BBB,1200+,25+,
278.0,Ain Shams University ,Egypt,,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Airlangga University,Indonesia,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Aix-Marseille University,France,333.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Ajman University,United Arab Emirates,314.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Ajou University,Republic of Korea,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Ajou University ,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Al Ain University,United Arab Emirates,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Al-Azhar University,Egypt,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
290.0,Al-Farabi Kazakh National University,Kazakhstan,304.0,Engineering & Technology,28,32,BBB,1200+,25+,
386.0,Albert-Ludwigs-Universitaet Freiburg,Germany,386.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Alexandria University,Egypt,320.0,Engineering & Technology,28,32,BBB,1200+,25+,
334.0,Alexandria University ,Egypt,,Engineering & Technology,28,32,BBB,1200+,25+,
100.0,Alma Mater Studiorum - University of Bologna,Italy,111.0,Engineering & Technology,32,36,AAA,1300+,27+,
267.0,American University of Beirut (AUB),Lebanon,273.0,Engineering & Technology,28,32,BBB,1200+,25+,
365.0,American University of Sharjah,United Arab Emirates,345.0,Engineering & Technology,28,32,BBB,1200+,25+,
320.0,American University of the Middle East,Kuwait,278.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Amirkabir University of Technology,Iran (Islamic Republic of),451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Amity University,India,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Ankara Üniversitesi,Türkiye,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
249.0,Anna University,India,172.0,Engineering & Technology,32,36,AAA,1300+,27+,
229.0,Aristotle University of Thessaloniki,Greece,229.0,Engineering & Technology,32,36,AAA,1300+,27+,
138.0,Arizona State University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Arizona State University,United States of America,145.0,Engineering & Technology,32,36,AAA,1300+,27+,
401.0,"Arts et Métiers, ParisTech",France,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,"Asian Institute of Technology, Thailand",Thailand,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Assiut University,Egypt,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Assiut University ,Egypt,,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Aston University,United Kingdom,328.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Babes-Bolyai University,Romania,,Engineering & Technology,28,32,BBB,1200+,25+,
,Banaras Hindu University,India,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
320.0,Bandung Institute of Technology (ITB),Indonesia,282.0,Engineering & Technology,28,32,BBB,1200+,25+,
305.0,Bangladesh University of Engineering and Technology,Bangladesh,320.0,Engineering & Technology,28,32,BBB,1200+,25+,
170.0,Bauman Moscow State Technical University,Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,Bauman Moscow State Technical University,Russian Federation,173.0,Engineering & Technology,32,36,AAA,1300+,27+,
253.0,Beihang University (former BUAA),China (Mainland),222.0,Engineering & Technology,32,36,AAA,1300+,27+,
155.0,Beijing Institute of Technology,China (Mainland),127.0,Engineering & Technology,32,36,AAA,1300+,27+,
501.0,Beijing Jiaotong University,China (Mainland),451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Beijing Normal University,China (Mainland),394.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Beijing Normal University ,China (Mainland),,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Beijing University of Technology,China (Mainland),,Engineering & Technology,28,32,BBB,1200+,25+,
,Beirut Arab University,Lebanon,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Beirut Arab University ,Lebanon,,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Belarusian State University,Belarus,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Ben-Gurion University of The Negev,Israel,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
285.0,Bilkent University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Bilkent University,Türkiye,273.0,Engineering & Technology,28,32,BBB,1200+,25+,
359.0,"Birla Institute of Technology and Science, Pilani",India,250.0,Engineering & Technology,32,36,AAA,1300+,27+,
182.0,Boston University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Boston University,United States of America,170.0,Engineering & Technology,32,36,AAA,1300+,27+,
273.0,Boğaziçi University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Boğaziçi University,Türkiye,257.0,Engineering & Technology,28,32,BBB,1200+,25+,
281.0,Brno University of Technology,Czech Republic,,Engineering & Technology,28,32,BBB,1200+,25+,
,Brno University of Technology,Czechia,282.0,Engineering & Technology,28,32,BBB,1200+,25+,
195.0,Brown University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Brown University,United States of America,214.0,Engineering & Technology,32,36,AAA,1300+,27+,
320.0,Brunel University London,United Kingdom,359.0,Engineering & Technology,28,32,BBB,1200+,25+,
243.0,Budapest University of Technology and Economics,Hungary,231.0,Engineering & Technology,32,36,AAA,1300+,27+,
236.0,COMSATS University Islamabad,Pakistan,207.0,Engineering & Technology,32,36,AAA,1300+,27+,
149.0,Cairo University,Egypt,136.0,Engineering & Technology,32,36,AAA,1300+,27+,
9.0,California Institute of Technology (Caltech),United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,California Institute of Technology (Caltech),United States of America,13.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
205.0,Cardiff University,United Kingdom,225.0,Engineering & Technology,32,36,AAA,1300+,27+,
401.0,Carleton University,Canada,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
16.0,Carnegie Mellon University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Carnegie Mellon University,United States of America,19.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
341.0,Case Western Reserve University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Case Western Reserve University,United States of America,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Central South University,China (Mainland),384.0,Engineering & Technology,28,32,BBB,1200+,25+,
108.0,Chalmers University of Technology,Sweden,112.0,Engineering & Technology,32,36,AAA,1300+,27+,
332.0,Chandigarh University,India,231.0,Engineering & Technology,32,36,AAA,1300+,27+,
401.0,Charles University,Czech Republic,,Engineering & Technology,28,32,BBB,1200+,25+,
,Charles University,Czechia,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Chiang Mai University,Thailand,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Chongqing University,China (Mainland),394.0,Engineering & Technology,28,32,BBB,1200+,25+,
222.0,Chulalongkorn University,Thailand,197.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Chung-Ang University (CAU),Republic of Korea,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Chung-Ang University (CAU),South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
147.0,City University of Hong Kong,Hong Kong SAR,,Engineering & Technology,28,32,BBB,1200+,25+,
,City University of Hong Kong,"Hong Kong SAR, China",99.0,Engineering & Technology,34,38,A*AA,1400+,30+,
451.0,City University of New York,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,"City, University of London",United Kingdom,,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Clemson University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
355.0,Colorado School of Mines,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Colorado School of Mines,United States of America,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
307.0,Colorado State University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Colorado State University,United States of America,371.0,Engineering & Technology,28,32,BBB,1200+,25+,
